DateTime,Station,Energy Production (kWh)
2022-09-11,Amberd 3,55.6539077933885
2022-09-12,Amberd 3,-107.28270005860213
2022-09-13,Amberd 3,-479.25863445517643
2022-09-14,Amberd 3,-167.95597775693204
2022-09-15,Amberd 3,273.8222448020315
2022-09-16,Amberd 3,64.80592340879593
2022-09-17,Amberd 3,-537.5419532588076
2022-09-18,Amberd 3,443.50563607508775
2022-09-19,Amberd 3,175.84596160401452
2022-09-20,Amberd 3,-145.1311213553672
2022-09-21,Amberd 3,-293.5254493452594
2022-09-22,Amberd 3,4825.68754669408
2022-09-23,Amberd 3,5693.100457621998
2022-09-24,Amberd 3,976.5352719721341
2022-09-25,Amberd 3,-300.6700343268458
2022-09-26,Amberd 3,-329.6662439961656
2022-09-27,Amberd 3,-219.91648416865792
2022-09-28,Amberd 3,86.6451843901632
2022-09-29,Amberd 3,228.03270338755465
2022-09-30,Amberd 3,94.87230210550479
2022-10-01,Amberd 3,-255.96949231031795
2022-10-02,Amberd 3,102.1530971664306
2022-10-03,Amberd 3,208.65105402711742
2022-10-04,Amberd 3,-167.78706814688667
2022-10-05,Amberd 3,-558.6694954989543
2022-10-06,Amberd 3,-1622.6272187583454
2022-10-07,Amberd 3,966.5837019347564
2022-10-08,Amberd 3,-401.1349674445646
2022-10-09,Amberd 3,2836.045228855486
2022-10-10,Amberd 3,1638.9619096474144
2022-10-11,Amberd 3,-627.33949261813
2022-10-12,Amberd 3,-782.3175087129966
2022-10-13,Amberd 3,-818.0458742465053
2022-10-14,Amberd 3,414.23519663308434
2022-10-15,Amberd 3,1200.0789321317898
2022-10-16,Amberd 3,1723.791589529228
2022-10-17,Amberd 3,125.05076612641642
2022-10-18,Amberd 3,-470.1835067430493
2022-10-19,Amberd 3,-607.0008667008151
2022-10-20,Amberd 3,-411.6462514258237
2022-10-21,Amberd 3,560.8595188280469
2022-10-22,Amberd 3,-17.80348890323512
2022-10-23,Amberd 3,-195.49191221482215
2022-10-24,Amberd 3,-656.4680907317634
2022-10-25,Amberd 3,58.75176218474735
2022-10-26,Amberd 3,359.53420048598855
2022-10-27,Amberd 3,295.7424070167617
2022-10-28,Amberd 3,288.18913916108795
2022-10-29,Amberd 3,-120.76292798704344
2022-10-30,Amberd 3,227.73041661359457
2022-10-31,Amberd 3,382.3295165640375
2022-11-01,Amberd 3,-1165.501298701096
2022-11-02,Amberd 3,-1062.0591747461913
2022-11-03,Amberd 3,751.7329493317138
2022-11-04,Amberd 3,718.4785754035092
2022-11-05,Amberd 3,-74.70929485549095
2022-11-06,Amberd 3,363.77692616501554
2022-11-07,Amberd 3,-146.4734747481598
2022-11-08,Amberd 3,-331.85832203868995
2022-11-09,Amberd 3,-131.9362036575203
2022-11-10,Amberd 3,105.23305338096543
2022-11-11,Amberd 3,699.6096309526438
2022-11-12,Amberd 3,-342.26569327084144
2022-11-13,Amberd 3,-335.8038768474471
2022-11-14,Amberd 3,-12.769711669086973
2022-11-15,Amberd 3,-63.99410269164946
2022-11-16,Amberd 3,-52.826243036151936
2022-11-17,Amberd 3,1047.9542404359054
2022-11-18,Amberd 3,-244.66906698822095
2022-11-19,Amberd 3,-738.2764107251478
2022-11-20,Amberd 3,-114.39855602381795
2022-11-21,Amberd 3,-32.91438424185071
2022-11-22,Amberd 3,-138.489111051078
2022-11-23,Amberd 3,268.56329692301733
2022-11-24,Amberd 3,-694.4162887000111
2022-11-25,Amberd 3,394.34503823392333
2022-11-26,Amberd 3,3425.780271936923
2022-11-27,Amberd 3,973.1524253447951
2022-11-28,Amberd 3,-312.81191692879474
2022-11-29,Amberd 3,-311.70673196126336
2022-11-30,Amberd 3,-74.66836455484736
2022-12-01,Amberd 3,264.458352981439
2022-12-02,Amberd 3,50.13644782259507
2022-12-03,Amberd 3,-286.7839514025818
2022-12-04,Amberd 3,-38.14724251109146
2022-12-05,Amberd 3,149.8777188514905
2022-12-06,Amberd 3,64.8433854583036
2022-12-07,Amberd 3,48.311332427600064
2022-12-08,Amberd 3,480.3114623968104
2022-12-09,Amberd 3,-166.9335272366061
2022-12-10,Amberd 3,-876.348436830338
2022-12-11,Amberd 3,-836.5394014548092
2022-12-12,Amberd 3,614.3634755027651
2022-12-13,Amberd 3,580.3361993804065
2022-12-14,Amberd 3,-395.43007159136505
2022-12-15,Amberd 3,-378.17563095347214
2022-12-16,Amberd 3,-112.49581739073983
2022-12-17,Amberd 3,611.4299605743527
2022-12-18,Amberd 3,52.86117825382462
