Station,Datetime,Energy Production (kWh)
Amberd 3,2022-10-12,11202.66
Amberd 3,2022-10-13,11426.800000000001
Amberd 3,2022-10-14,13073.2
Amberd 3,2022-10-15,14508.62
Amberd 3,2022-10-16,14939.960000000001
Amberd 3,2022-10-17,13228.880000000001
Amberd 3,2022-10-18,12497.52
Amberd 3,2022-10-19,12208.0
Amberd 3,2022-10-20,12057.220000000001
Amberd 3,2022-10-21,12975.76
Amberd 3,2022-10-22,12826.8
Amberd 3,2022-10-23,12538.82
Amberd 3,2022-10-24,12136.32
Amberd 3,2022-10-25,13033.44
Amberd 3,2022-10-26,13581.82
Amberd 3,2022-10-27,13510.28
Amberd 3,2022-10-28,13620.18
Amberd 3,2022-10-29,13532.12
Amberd 3,2022-10-30,13478.92
Amberd 3,2022-10-31,13461.42
Amberd 3,2022-11-01,11975.880000000001
Amberd 3,2022-11-02,12233.06
Amberd 3,2022-11-03,13946.800000000001
Amberd 3,2022-11-04,14035.42
Amberd 3,2022-11-05,13722.800000000001
Amberd 3,2022-11-06,13899.76
Amberd 3,2022-11-07,13175.960000000001
Amberd 3,2022-11-08,12911.5
Amberd 3,2022-11-09,13097.0
Amberd 3,2022-11-10,13038.2
Amberd 3,2022-11-11,13558.86
Amberd 3,2022-11-12,12831.7
Amberd 3,2022-11-13,12523.0
Amberd 3,2022-11-14,12690.300000000001
Amberd 3,2022-11-15,12602.1
Amberd 3,2022-11-16,12626.6
Amberd 3,2022-11-17,13457.5
Amberd 3,2022-11-18,12100.76
Amberd 3,2022-11-19,11929.4
Amberd 3,2022-11-20,12264.7
Amberd 3,2022-11-21,12252.66
Amberd 3,2022-11-22,12308.1
Amberd 3,2022-11-23,13042.4
Amberd 3,2022-11-24,12147.1
Amberd 3,2022-11-25,13387.5
Amberd 3,2022-11-26,16871.4
Amberd 3,2022-11-27,14219.800000000001
Amberd 3,2022-11-28,12861.1
Amberd 3,2022-11-29,12796.56
Amberd 3,2022-11-30,12960.92
Amberd 3,2022-12-01,12972.12
Amberd 3,2022-12-02,12694.92
Amberd 3,2022-12-03,12683.3
Amberd 3,2022-12-04,12610.5
Amberd 3,2022-12-05,12613.86
Amberd 3,2022-12-06,12445.3
Amberd 3,2022-12-07,12362.7
Amberd 3,2022-12-08,12406.52
Amberd 3,2022-12-09,11660.88
Amberd 3,2022-12-10,11327.4
Amberd 3,2022-12-11,11133.5
Amberd 3,2022-12-12,12522.3
Amberd 3,2022-12-13,12661.6
Amberd 3,2022-12-14,12035.1
Amberd 3,2022-12-15,12071.22
Amberd 3,2022-12-16,12490.8
Amberd 3,2022-12-17,13755.56
Amberd 3,2022-12-18,13111.42
Amberd 3,2022-12-19,13076.56
Amberd 3,2022-12-20,13278.3
Amberd 3,2022-12-21,13291.6
Amberd 3,2022-12-22,12070.800000000001
Amberd 3,2022-12-23,11085.9
Amberd 3,2022-12-24,13591.9
Amberd 3,2022-12-25,12184.76
Amberd 3,2022-12-26,10497.9
Amberd 3,2022-12-27,11064.9
Amberd 3,2022-12-28,12084.1
Amberd 3,2022-12-29,12830.3
Amberd 3,2022-12-30,11328.800000000001
Amberd 3,2022-12-31,12677.7
Amberd 3,2023-01-01,12295.5
Amberd 3,2023-01-02,12546.800000000001
Amberd 3,2023-01-03,13401.5
Amberd 3,2023-01-04,12608.4
Amberd 3,2023-01-05,12055.26
Amberd 3,2023-01-06,12376.0
Amberd 3,2023-01-07,12886.3
Amberd 3,2023-01-08,12475.4
Amberd 3,2023-01-09,12802.16
Amberd 3,2023-01-10,12479.6
Amberd 3,2023-01-11,12428.359999999999
Amberd 3,2023-01-12,12233.9
Amberd 3,2023-01-13,12350.800000000001
Amberd 3,2023-01-14,12329.1
Amberd 3,2023-01-15,12455.8
Amberd 3,2023-01-16,12234.460000000001
Amberd 3,2023-01-17,12291.58
Amberd 3,2023-01-18,12454.26
Amberd 3,2023-01-19,12296.060000000001
Amberd 3,2023-01-20,12470.22
Amberd 3,2023-01-21,12226.48
Amberd 3,2023-01-22,12169.64
Amberd 3,2023-01-23,11934.44
Amberd 3,2023-01-24,11967.62
Amberd 3,2023-01-25,11818.8
Amberd 3,2023-01-26,11660.6
Amberd 3,2023-01-27,11579.4
Amberd 3,2023-01-28,11773.3
Amberd 3,2023-01-29,12062.82
Amberd 3,2023-01-30,11600.12
Amberd 3,2023-01-31,11870.04
Amberd 3,2023-02-01,12281.64
Amberd 3,2023-02-02,12398.960000000001
Amberd 3,2023-02-03,11642.12
Amberd 3,2023-02-04,11933.74
Amberd 3,2023-02-05,13137.880000000001
Amberd 3,2023-02-06,10223.220000000001
Amberd 3,2023-02-07,8838.62
Amberd 3,2023-02-08,16709.0
Amberd 3,2023-02-09,14676.060000000001
Amberd 3,2023-02-10,12866.7
Amberd 3,2023-02-11,12185.46
Amberd 3,2023-02-12,12049.52
Amberd 3,2023-02-13,11237.52
Amberd 3,2023-02-14,9829.96
Amberd 3,2023-02-15,12679.66
Amberd 3,2023-02-16,11509.26
Amberd 3,2023-02-17,10325.56
Amberd 3,2023-02-18,12608.119999999999
Amberd 3,2023-02-19,11906.86
Amberd 3,2023-02-20,11979.52
Amberd 3,2023-02-21,11143.02
Amberd 3,2023-02-22,11081.28
Amberd 3,2023-02-23,13500.62
Amberd 3,2023-02-24,12114.9
Amberd 3,2023-02-25,11905.46
Amberd 3,2023-02-26,12109.300000000001
Amberd 3,2023-02-27,11921.0
Amberd 3,2023-02-28,12046.86
Amberd 3,2023-03-01,12516.0
Amberd 3,2023-03-02,12502.7
Amberd 3,2023-03-03,13344.52
Amberd 3,2023-03-04,13517.56
Amberd 3,2023-03-05,13766.760000000002
Amberd 3,2023-03-06,10830.960000000001
Amberd 3,2023-03-07,15116.08
Amberd 3,2023-03-08,15056.720000000001
Amberd 3,2023-03-09,15303.12
Amberd 3,2023-03-10,13995.800000000001
Amberd 3,2023-03-11,14428.26
Amberd 3,2023-03-12,14954.52
Amberd 3,2023-03-13,15925.42
Amberd 3,2023-03-14,18978.82
Amberd 3,2023-03-15,25209.800000000003
Amberd 3,2023-03-16,25571.0
Amberd 3,2023-03-17,20664.0
Amberd 3,2023-03-18,20577.9
Amberd 3,2023-03-19,19624.36
Amberd 3,2023-03-20,18540.2
Amberd 3,2023-03-21,15925.0
Amberd 3,2023-03-22,16169.3
Amberd 3,2023-03-23,16524.2
Amberd 3,2023-03-24,17873.8
