DateTime,Station,Energy Production (kWh)
2022-07-06,Amberd 3,1219.198589064319
2022-07-07,Amberd 3,1442.680238161909
2022-07-08,Amberd 3,1836.3815493277143
2022-07-09,Amberd 3,2829.467727739984
2022-07-10,Amberd 3,1896.5162401086545
2022-07-11,Amberd 3,1464.7961358138073
2022-07-12,Amberd 3,1368.1511415854548
2022-07-13,Amberd 3,907.3694865687157
2022-07-14,Amberd 3,608.6443054452229
2022-07-15,Amberd 3,851.8616269675022
2022-07-16,Amberd 3,421.78707719718113
2022-07-17,Amberd 3,1069.1138686790327
2022-07-18,Amberd 3,1207.9315970345724
2022-07-19,Amberd 3,-112.03833828261668
2022-07-20,Amberd 3,-552.5294950670941
2022-07-21,Amberd 3,-553.5054071519953
2022-07-22,Amberd 3,946.9157225639574
2022-07-23,Amberd 3,1028.661632061503
2022-07-24,Amberd 3,364.16823699477936
2022-07-25,Amberd 3,-611.3714605021232
2022-07-26,Amberd 3,-1270.4920634432274
2022-07-27,Amberd 3,-1473.946067679757
2022-07-28,Amberd 3,-63.19191152327585
2022-07-29,Amberd 3,-741.3868169930447
2022-07-30,Amberd 3,-1593.8685111636332
2022-07-31,Amberd 3,-1616.0713543489856
2022-08-01,Amberd 3,-1510.293539043576
2022-08-02,Amberd 3,-1965.0832131454135
2022-08-03,Amberd 3,76.39540890938224
2022-08-04,Amberd 3,1763.9262896929067
2022-08-05,Amberd 3,1407.8456446466862
2022-08-06,Amberd 3,1221.567235281189
2022-08-07,Amberd 3,1292.1449195789774
2022-08-08,Amberd 3,5141.889076000563
2022-08-09,Amberd 3,2735.402492431718
2022-08-10,Amberd 3,693.5142760857161
2022-08-11,Amberd 3,451.5639076180578
2022-08-12,Amberd 3,392.0374212616953
2022-08-13,Amberd 3,23.85862380731305
2022-08-14,Amberd 3,-555.3137013426876
2022-08-15,Amberd 3,-618.5356824257851
2022-08-16,Amberd 3,-811.216376616112
2022-08-17,Amberd 3,-994.0982562862955
2022-08-18,Amberd 3,-992.556783573571
2022-08-19,Amberd 3,-1232.086109205
2022-08-20,Amberd 3,-1078.32003591791
2022-08-21,Amberd 3,-1217.722312631382
2022-08-22,Amberd 3,-639.5627382420444
2022-08-23,Amberd 3,-733.9100352011264
2022-08-24,Amberd 3,430.7868007515335
2022-08-25,Amberd 3,-133.20253235189557
2022-08-26,Amberd 3,362.52242177029075
2022-08-27,Amberd 3,534.8653709825157
2022-08-28,Amberd 3,441.5234466355978
2022-08-29,Amberd 3,331.6594892234789
2022-08-30,Amberd 3,15.960387085962793
2022-08-31,Amberd 3,768.8857413820879
2022-09-01,Amberd 3,-253.07482197103127
2022-09-02,Amberd 3,-94.9722306446456
2022-09-03,Amberd 3,-656.6192405462753
2022-09-04,Amberd 3,-297.3092499392933
2022-09-05,Amberd 3,-346.4452700617312
2022-09-06,Amberd 3,686.7755061295939
2022-09-07,Amberd 3,5571.012413971641
2022-09-08,Amberd 3,345.0555541100457
2022-09-09,Amberd 3,-766.6468555682841
2022-09-10,Amberd 3,-763.0822568977674
2022-09-11,Amberd 3,-777.958937428084
2022-09-12,Amberd 3,-1170.7282582983607
2022-09-13,Amberd 3,-1540.5753563118287
2022-09-14,Amberd 3,-1140.8536631102816
2022-09-15,Amberd 3,-770.9537507378227
2022-09-16,Amberd 3,-823.6931576991155
2022-09-17,Amberd 3,-931.0675764046155
2022-09-18,Amberd 3,-133.05789104122232
2022-09-19,Amberd 3,-461.70306856057323
2022-09-20,Amberd 3,-659.0989147324144
2022-09-21,Amberd 3,-575.5726709086375
2022-09-22,Amberd 3,4429.320358380573
2022-09-23,Amberd 3,5309.564601524347
2022-09-24,Amberd 3,1011.3561616878251
2022-09-25,Amberd 3,-439.92733583981317
2022-09-26,Amberd 3,-677.5803633704327
2022-09-27,Amberd 3,-661.222438630999
2022-09-28,Amberd 3,-375.6495916213644
2022-09-29,Amberd 3,-436.22458831723816
2022-09-30,Amberd 3,-579.9954136995639
2022-10-01,Amberd 3,-635.1574123815881
2022-10-02,Amberd 3,-677.2034318429924
2022-10-03,Amberd 3,-834.8493461807157
2022-10-04,Amberd 3,-1207.6877773468004
2022-10-05,Amberd 3,-1461.2095664519256
2022-10-06,Amberd 3,-2541.9907497459353
2022-10-07,Amberd 3,310.845892500367
2022-10-08,Amberd 3,-533.5936757652344
2022-10-09,Amberd 3,2550.1022307222247
2022-10-10,Amberd 3,1310.278793275067
2022-10-11,Amberd 3,-851.1726206885851
2022-10-12,Amberd 3,-763.3395679963996
2022-10-13,Amberd 3,-676.6976225881117
2022-10-14,Amberd 3,838.3747288265367
2022-10-15,Amberd 3,2151.10193555192
2022-10-16,Amberd 3,2470.3244626868945
2022-10-17,Amberd 3,658.2983366205935
2022-10-18,Amberd 3,-163.78436904702903
2022-10-19,Amberd 3,-535.1630171764045
2022-10-20,Amberd 3,-760.1946053973097
2022-10-21,Amberd 3,90.77834554620676
2022-10-22,Amberd 3,-119.51156346151765
2022-10-23,Amberd 3,-463.0884680021154
2022-10-24,Amberd 3,-915.8818089300585
2022-10-25,Amberd 3,-63.89159680732155
2022-10-26,Amberd 3,444.95458393469926
2022-10-27,Amberd 3,339.94908111260884
2022-10-28,Amberd 3,422.64614592804537
2022-10-29,Amberd 3,313.6275614069564
2022-10-30,Amberd 3,245.4309567340788
2022-10-31,Amberd 3,218.41794386826768
2022-11-01,Amberd 3,-1271.7832595795844
2022-11-02,Amberd 3,-1015.1809472135046
2022-11-03,Amberd 3,702.0914518997142
2022-11-04,Amberd 3,799.0149967852776
2022-11-05,Amberd 3,499.69193931096015
2022-11-06,Amberd 3,694.6651469715398
2022-11-07,Amberd 3,-6.994820200263348
2022-11-08,Amberd 3,-246.2115678885948
2022-11-09,Amberd 3,-33.384330014974694
2022-11-10,Amberd 3,-63.638458270997944
2022-11-11,Amberd 3,485.9415608579984
2022-11-12,Amberd 3,-212.7289850768957
2022-11-13,Amberd 3,-494.47852200013403
2022-11-14,Amberd 3,-302.7425202205013
2022-11-15,Amberd 3,-369.68740097054433
2022-11-16,Amberd 3,-327.59037140767396
2022-11-17,Amberd 3,517.0024159363074
2022-11-18,Amberd 3,-829.9904474882715
2022-11-19,Amberd 3,-995.9134967410428
2022-11-20,Amberd 3,-659.3325228519479
2022-11-21,Amberd 3,-673.4708709154729
2022-11-22,Amberd 3,-622.3198031993161
2022-11-23,Amberd 3,107.11033732314354
2022-11-24,Amberd 3,-791.6418424444691
2022-11-25,Amberd 3,448.65532044064093
2022-11-26,Amberd 3,3938.228265072794
2022-11-27,Amberd 3,1300.223020971036
2022-11-28,Amberd 3,-37.27577501125779
2022-11-29,Amberd 3,-74.13612540882059
2022-11-30,Amberd 3,123.27726460299527
2022-12-01,Amberd 3,171.84602492720842
2022-12-02,Amberd 3,-64.8052628235364
2022-12-03,Amberd 3,-33.93942080217312
2022-12-04,Amberd 3,-63.51876787237779
2022-12-05,Amberd 3,-17.384410759828825
2022-12-06,Amberd 3,-144.75775696028177
2022-12-07,Amberd 3,-188.88934871275524
2022-12-08,Amberd 3,-110.35925465817854
2022-12-09,Amberd 3,-825.9694875945243
2022-12-10,Amberd 3,-1134.9530857856007
2022-12-11,Amberd 3,-1310.2268565654722
2022-12-12,Amberd 3,91.70173841041651
2022-12-13,Amberd 3,239.82412927197765
2022-12-14,Amberd 3,-381.02556743739297
2022-12-15,Amberd 3,-341.4431252550876
2022-12-16,Amberd 3,80.63382326115425
2022-12-17,Amberd 3,1348.3610475068708
2022-12-18,Amberd 3,709.0439207380696
2022-12-19,Amberd 3,681.4050905560562
2022-12-20,Amberd 3,892.8640521116795
2022-12-21,Amberd 3,918.0544223741908
2022-12-22,Amberd 3,-289.56822171972635
2022-12-23,Amberd 3,-1261.4620872473752
2022-12-24,Amberd 3,1256.095598852531
2022-12-25,Amberd 3,-141.42397655420064
2022-12-26,Amberd 3,-1821.8746863510514
2022-12-27,Amberd 3,-1252.8620134361518
2022-12-28,Amberd 3,-236.09276902866077
2022-12-29,Amberd 3,503.969274410656
2022-12-30,Amberd 3,-1006.4920975983187
2022-12-31,Amberd 3,331.1919196677736
2023-01-01,Amberd 3,-63.280811506701866
2023-01-02,Amberd 3,175.6805762128206
2023-01-03,Amberd 3,1019.0065006680925
2023-01-04,Amberd 3,216.4175793407394
2023-01-05,Amberd 3,-344.042449350527
2023-01-06,Amberd 3,-28.305107974081693
2023-01-07,Amberd 3,479.67310743254166
2023-01-08,Amberd 3,69.51339152429864
2023-01-09,Amberd 3,400.15714326399757
2023-01-10,Amberd 3,84.66231574473932
2023-01-11,Amberd 3,43.45676384508806
2023-01-12,Amberd 3,-138.26457150372516
2023-01-13,Amberd 3,-6.213909847874675
2023-01-14,Amberd 3,-10.557055376353674
2023-01-15,Amberd 3,135.50407141550386
2023-01-16,Amberd 3,-64.66585180802213
2023-01-17,Amberd 3,15.153162572696601
2023-01-18,Amberd 3,201.8215183346838
2023-01-19,Amberd 3,68.65014852834429
2023-01-20,Amberd 3,268.5038477551352
2023-01-21,Amberd 3,50.70450427369178
2023-01-22,Amberd 3,19.46619143778844
2023-01-23,Amberd 3,-191.08870771396687
2023-01-24,Amberd 3,-134.8499765126162
2023-01-25,Amberd 3,-262.70796784687445
2023-01-26,Amberd 3,-402.4687533701308
2023-01-27,Amberd 3,-468.01421225588456
2023-01-28,Amberd 3,-261.2546807067629
2023-01-29,Amberd 3,38.6120139572613
2023-01-30,Amberd 3,-415.80867140833834
2023-01-31,Amberd 3,-139.25541245681598
2023-02-01,Amberd 3,278.0129955782031
2023-02-02,Amberd 3,400.8047920958743
2023-02-03,Amberd 3,-350.16554162688954
2023-02-04,Amberd 3,-51.934027308230725
2023-02-05,Amberd 3,1160.1221667972277
2023-02-06,Amberd 3,-1744.721668798078
2023-02-07,Amberd 3,-3117.7353199359623
2023-02-08,Amberd 3,4766.961878584763
2023-02-09,Amberd 3,2753.979176540237
2023-02-10,Amberd 3,970.1464725324804
2023-02-11,Amberd 3,318.2124281781744
2023-02-12,Amberd 3,212.9593635486708
2023-02-13,Amberd 3,-569.5692840522934
2023-02-14,Amberd 3,-1951.603176923194
2023-02-15,Amberd 3,917.3040034400328
2023-02-16,Amberd 3,-241.36167247297817
2023-02-17,Amberd 3,-1422.527449174744
2023-02-18,Amberd 3,851.7902798675186
2023-02-19,Amberd 3,130.82420084232945
2023-02-20,Amberd 3,171.09463101328402
2023-02-21,Amberd 3,-711.7798774815456
2023-02-22,Amberd 3,-835.2877066484671
2023-02-23,Amberd 3,1505.9276239296396
2023-02-24,Amberd 3,25.28464948654255
2023-02-25,Amberd 3,-297.25929950893624
2023-02-26,Amberd 3,-226.10269549391523
2023-02-27,Amberd 3,-567.8782238433214
2023-02-28,Amberd 3,-617.3572557473963
