Date,Station,Energy Production (kWh),Water_Flow_m3_s
2024-10-09,Amberd1,76.56261498296317,24237.3525798422
2024-10-09,Amberd1,76.56261498296317,21824.5871559633
2024-10-09,Amberd1,76.56261498296317,279401.37193614495
2024-10-10,Amberd1,-242.09011105434365,23943.80163613351
2024-10-10,Amberd1,-242.09011105434365,21469.357798165136
2024-10-10,Amberd1,-242.09011105434365,279470.4998785727
2024-10-11,Amberd1,18.22734146258972,24098.242364738468
2024-10-11,Amberd1,18.22734146258972,23201.467889908257
2024-10-11,Amberd1,18.22734146258972,279539.81567512697
2024-10-12,Amberd1,125.86761296026545,23636.43430371383
2024-10-12,Amberd1,125.86761296026545,24155.596330275228
2024-10-12,Amberd1,125.86761296026545,279619.2722399753
2024-10-13,Amberd1,16.79980777853143,22840.572460841453
2024-10-13,Amberd1,16.79980777853143,23955.963302752298
2024-10-13,Amberd1,16.79980777853143,279693.30074306513
2024-10-14,Amberd1,1551.292338004614,32453.372222907557
2024-10-14,Amberd1,1551.292338004614,29851.009174311926
2024-10-14,Amberd1,1551.292338004614,279786.6682973449
2024-10-15,Amberd1,194.4736098921503,25576.406691214863
2024-10-15,Amberd1,194.4736098921503,25373.94495412844
2024-10-15,Amberd1,194.4736098921503,279871.26499277557
2024-10-16,Amberd1,-169.7965567579795,25759.047994038137
2024-10-16,Amberd1,-169.7965567579795,24170.2752293578
2024-10-16,Amberd1,-169.7965567579795,279949.96133545553
2024-10-17,Amberd1,3130.1250269112843,45098.01761183991
2024-10-17,Amberd1,3130.1250269112843,36321.46788990826
2024-10-17,Amberd1,3130.1250269112843,280025.8465753137
2024-10-18,Amberd1,2370.5760571219944,45453.83693754742
2024-10-18,Amberd1,2370.5760571219944,34146.05504587156
2024-10-18,Amberd1,2370.5760571219944,280067.17657973396
2024-10-19,Amberd1,1196.4698844882714,33265.132376077505
2024-10-19,Amberd1,1196.4698844882714,30229.7247706422
2024-10-19,Amberd1,1196.4698844882714,280098.59839715983
2024-10-20,Amberd1,368.57234197243906,29683.280919154862
2024-10-20,Amberd1,368.57234197243906,27478.899082568812
2024-10-20,Amberd1,368.57234197243906,280127.1977901981
2024-10-21,Amberd1,-65.88098794287453,28080.390563082055
2024-10-21,Amberd1,-65.88098794287453,26072.660550458717
2024-10-21,Amberd1,-65.88098794287453,280153.72044468595
2024-10-22,Amberd1,-1134.1162542121465,25497.67220212214
2024-10-22,Amberd1,-1134.1162542121465,21554.49541284404
2024-10-22,Amberd1,-1134.1162542121465,280177.30424436415
2024-10-23,Amberd1,-144.36434675114742,25903.836177105284
2024-10-23,Amberd1,-144.36434675114742,24052.844036697246
2024-10-23,Amberd1,-144.36434675114742,280199.46278472076
2024-10-24,Amberd1,-16.79083406855989,25621.641169323422
2024-10-24,Amberd1,-16.79083406855989,24052.844036697246
2024-10-24,Amberd1,-16.79083406855989,280232.63357438246
2024-10-25,Amberd1,45.36788919505125,25494.833218140433
2024-10-25,Amberd1,45.36788919505125,23985.32110091743
2024-10-25,Amberd1,45.36788919505125,280306.91995757906
2024-10-26,Amberd1,-8.626210768418787,24893.15787961694
2024-10-26,Amberd1,-8.626210768418787,23474.495412844037
2024-10-26,Amberd1,-8.626210768418787,280384.8078566075
2024-10-27,Amberd1,-200.09220304808423,23667.473861913848
2024-10-27,Amberd1,-200.09220304808423,22256.146788990827
2024-10-27,Amberd1,-200.09220304808423,280458.1647532405
2024-10-28,Amberd1,-81.97936159537494,23658.95690996872
2024-10-28,Amberd1,-81.97936159537494,22529.174311926607
2024-10-28,Amberd1,-81.97936159537494,280532.3173742354
2024-10-29,Amberd1,91.14996397009872,22980.62900393909
2024-10-29,Amberd1,91.14996397009872,22831.55963302752
2024-10-29,Amberd1,91.14996397009872,280607.5059883744
2024-10-30,Amberd1,150.89284435412992,23327.931377701472
2024-10-30,Amberd1,150.89284435412992,22485.1376146789
2024-10-30,Amberd1,150.89284435412992,280681.90321109653
2024-10-31,Amberd1,3.736019387738452,23390.199759700292
2024-10-31,Amberd1,3.736019387738452,21930.2752293578
2024-10-31,Amberd1,3.736019387738452,280754.6909544535
2024-11-01,Amberd1,-101.04466136101382,22691.809700199912
2024-11-01,Amberd1,-101.04466136101382,21572.11009174312
2024-11-01,Amberd1,-101.04466136101382,280826.2786118502
2024-11-02,Amberd1,-104.4612954609629,22163.94794520085
2024-11-02,Amberd1,-104.4612954609629,21310.825688073393
2024-11-02,Amberd1,-104.4612954609629,280896.91288160055
2024-11-03,Amberd1,48.284056675571264,22518.631677315676
2024-11-03,Amberd1,48.284056675571264,21287.339449541283
2024-11-03,Amberd1,48.284056675571264,280967.0768171724
2024-11-04,Amberd1,177.22261572606476,22701.462245737723
2024-11-04,Amberd1,177.22261572606476,21651.376146788993
2024-11-04,Amberd1,177.22261572606476,281037.7572118199
2024-11-05,Amberd1,-453.79550932567145,20819.026600265985
2024-11-05,Amberd1,-453.79550932567145,19220.5504587156
2024-11-05,Amberd1,-453.79550932567145,281107.2470250315
2024-11-06,Amberd1,8.726441239048654,21974.68234642026
2024-11-06,Amberd1,8.726441239048654,20292.11009174312
2024-11-06,Amberd1,8.726441239048654,281167.81069224037
2024-11-07,Amberd1,86.36951924530786,22513.142974951035
2024-11-07,Amberd1,86.36951924530786,20474.128440366974
2024-11-07,Amberd1,86.36951924530786,281242.4613223519
2024-11-08,Amberd1,-26.14072784887867,22201.61179935819
2024-11-08,Amberd1,-26.14072784887867,20115.963302752298
2024-11-08,Amberd1,-26.14072784887867,281313.24207359366
2024-11-09,Amberd1,-137.57845928389543,20861.8006255904
2024-11-09,Amberd1,-137.57845928389543,19655.045871559632
2024-11-09,Amberd1,-137.57845928389543,281381.71741861315
2024-11-10,Amberd1,-90.72082965414666,20315.58010750962
2024-11-10,Amberd1,-90.72082965414666,19420.183486238533
2024-11-10,Amberd1,-90.72082965414666,281449.25097709656
2024-11-11,Amberd1,94.13012392715336,20588.311835352448
2024-11-11,Amberd1,94.13012392715336,20051.376146788993
2024-11-11,Amberd1,94.13012392715336,281518.3892626831
2024-11-12,Amberd1,130.77307180492062,21005.453215064867
2024-11-12,Amberd1,130.77307180492062,20024.954128440368
2024-11-12,Amberd1,130.77307180492062,281587.9781745373
2024-11-13,Amberd1,34.917281307780286,20241.95578958397
2024-11-13,Amberd1,34.917281307780286,19299.816513761467
2024-11-13,Amberd1,34.917281307780286,281655.51187279314
2024-11-14,Amberd1,-128.31306854240574,20081.83709301559
2024-11-14,Amberd1,-128.31306854240574,18853.57798165138
2024-11-14,Amberd1,-128.31306854240574,281721.08945609326
2024-11-15,Amberd1,-222.0514880181836,19662.80305731537
2024-11-15,Amberd1,-222.0514880181836,18768.44036697248
2024-11-15,Amberd1,-222.0514880181836,281786.81659587775
2024-11-16,Amberd1,16.278261315825148,20201.263685846145
2024-11-16,Amberd1,16.278261315825148,19713.761467889908
2024-11-16,Amberd1,16.278261315825148,281854.0875219924
2024-11-17,Amberd1,-74.56474325941781,20058.3681587668
2024-11-17,Amberd1,-74.56474325941781,19241.10091743119
2024-11-17,Amberd1,-74.56474325941781,281920.5391022068
2024-11-18,Amberd1,206.00227622408693,20857.068985620885
2024-11-18,Amberd1,206.00227622408693,20482.935779816515
2024-11-18,Amberd1,206.00227622408693,281990.42307363043
2024-11-19,Amberd1,105.48299393580874,20806.913601944027
2024-11-19,Amberd1,105.48299393580874,20180.550458715596
2024-11-19,Amberd1,105.48299393580874,282061.622862574
2024-11-20,Amberd1,64.63888268794653,20600.614099273185
2024-11-20,Amberd1,64.63888268794653,19728.44036697248
2024-11-20,Amberd1,64.63888268794653,282131.43778642424
2024-11-21,Amberd1,-59.65697874503075,19983.608247248467
2024-11-21,Amberd1,-59.65697874503075,19428.990825688074
2024-11-21,Amberd1,-59.65697874503075,282199.56747426005
2024-11-22,Amberd1,-88.5071400787765,20095.274950529016
2024-11-22,Amberd1,-88.5071400787765,19508.256880733945
2024-11-22,Amberd1,-88.5071400787765,282267.1832189238
2024-11-23,Amberd1,-63.73720854999374,19835.981080199606
2024-11-23,Amberd1,-63.73720854999374,19593.39449541285
2024-11-23,Amberd1,-63.73720854999374,282335.06481072196
2024-11-24,Amberd1,7.569048277546244,19985.500903236272
2024-11-24,Amberd1,7.569048277546244,19561.10091743119
2024-11-24,Amberd1,7.569048277546244,282403.41631738126
2024-11-25,Amberd1,50.311697337720034,20373.49538073648
2024-11-25,Amberd1,50.311697337720034,19898.715596330276
2024-11-25,Amberd1,50.311697337720034,282471.99118036055
2024-11-26,Amberd1,25.202385860299728,20373.49538073648
2024-11-26,Amberd1,25.202385860299728,19804.770642201835
2024-11-26,Amberd1,25.202385860299728,282541.13463752647
2024-11-27,Amberd1,34.415959346780255,21303.735798743073
2024-11-27,Amberd1,34.415959346780255,19402.56880733945
2024-11-27,Amberd1,34.415959346780255,282609.86646492855
2024-11-28,Amberd1,-1377.708324950303,16083.790584374436
2024-11-28,Amberd1,-1377.708324950303,14505.688073394498
2024-11-28,Amberd1,-1377.708324950303,282668.3993787116
2024-11-29,Amberd1,-1211.828791050113,19438.52332276037
