Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-12-26,Amberd 3,149.89595879055378,284566.63499656686,3,0.0,60,1026,12,266617.27719840175,266171.0386662916,107510.59206459107,132839.0782472374,-10.545579974376663,17073998.09979401,-2.4492935982947064e-16,1.0,2.422919658712454,17949.357798165136,18395.59633027523
2024-12-27,Amberd 3,-767.055976101019,18525.31680864403,3,1.12,65,1024,12,-266041.3181879228,-265901.3433819007,107013.76986779203,94853.17204982298,-10.545579974376663,1204145.592561862,-2.4492935982947064e-16,1.0,-0.554068976584106,284566.63499656686,284426.66019054473
2024-12-27,Amberd 3,-767.055976101019,17961.10091743119,3,1.12,65,1024,12,-564.2158912128398,-2302.0526192162106,107017.68424088071,94524.30738993497,-10.545579974376663,1167471.5596330275,-2.4492935982947064e-16,1.0,-0.5603825233197597,18525.31680864403,20263.1535366474
2024-12-27,Amberd 3,-767.055976101019,284635.2972173059,3,1.12,65,1024,12,266674.19629987475,266480.4348319848,107040.57164779374,132592.9409373614,-10.545579974376663,18501294.319124885,-2.4492935982947064e-16,1.0,2.4236879854227813,17961.10091743119,18154.8623853211
2024-12-28,Amberd 3,566.5572770519702,20777.57743413304,2,13.07,96,1018,12,-263857.7197831729,-263719.5179902422,107791.3251896234,94918.7240816125,-11.545579974376663,1994647.4336767718,-2.4492935982947064e-16,1.0,-0.528866296295661,284635.2972173059,284497.09542437526
2024-12-28,Amberd 3,566.5572770519702,18677.43119266055,2,13.07,96,1018,12,-2100.1462414724883,-1338.3522063806158,108030.10194803319,94727.53090927238,-11.545579974376663,1793033.394495413,-2.4492935982947064e-16,1.0,-0.5523668244689129,20777.57743413304,20015.783399041167
2024-12-28,Amberd 3,566.5572770519702,284705.2524726614,2,13.07,96,1018,12,266027.82128000085,266755.89467449626,108053.420366485,132835.51586277183,-11.545579974376663,27331704.23737549,-2.4492935982947064e-16,1.0,2.424470781123806,18677.43119266055,17949.357798165136
2024-12-29,Amberd 3,221.8450722214893,20215.458605754688,3,0.34,74,1022,12,-264489.79386690666,-264351.17639081215,107866.04742369223,95071.06209265582,-10.545579974376663,1495943.9368258468,-2.4492935982947064e-16,1.0,-0.5351563770063066,284705.2524726614,284566.63499656686
2024-12-29,Amberd 3,221.8450722214893,18160.73394495413,3,0.34,74,1022,12,-2054.724660800559,-364.5828636899023,107693.8150077901,95018.97882641442,-10.545579974376663,1343894.3119266054,-2.4492935982947064e-16,1.0,-0.5581486400334581,20215.458605754688,18525.31680864403
2024-12-29,Amberd 3,221.8450722214893,284776.4927956055,3,0.34,74,1022,12,266615.7588506514,266815.3918781743,107717.56178210479,133135.4633804393,-10.545579974376663,21073460.466874808,-2.4492935982947064e-16,1.0,2.4252679566648987,18160.73394495413,17961.10091743119
2024-12-30,Amberd 3,-43.45778971734581,19793.396320473978,0,0.0,61,1027,12,-264983.0964751315,-264841.90089683194,107576.8743536779,95300.9061094633,-13.545579974376663,1207397.1755489127,-2.4492935982947064e-16,1.0,-0.5398792322200235,284776.4927956055,284635.2972173059
2024-12-30,Amberd 3,-43.45778971734581,17814.311926605504,0,0.0,61,1027,12,-1979.0843938684739,-2963.265507527536,107461.40034756168,94877.58246553082,-13.545579974376663,1086673.0275229358,-2.4492935982947064e-16,1.0,-0.5620250845596872,19793.396320473978,20777.57743413304
2024-12-30,Amberd 3,-43.45778971734581,284846.13705733645,0,0.0,61,1027,12,267031.8251307309,266168.7058646759,107484.615101472,132901.68330334168,-13.545579974376663,17375614.360497523,-2.4492935982947064e-16,1.0,2.426047272363298,17814.311926605504,18677.43119266055
2024-12-31,Amberd 3,54.879536069400274,19883.29747989475,1,0.0,54,1028,12,-264962.8395774417,-264821.9549927666,107514.58215461225,95069.97544723214,-12.545579974376663,1073698.0639143165,-2.4492935982947064e-16,1.0,-0.5388732428807789,284846.13705733645,284705.2524726614
2024-12-31,Amberd 3,54.879536069400274,17541.284403669724,1,0.0,54,1028,12,-2342.0130762250265,-2674.1742020849633,107423.57298030033,94687.95056121999,-12.545579974376663,947229.3577981651,-2.4492935982947064e-16,1.0,-0.5650802484659526,19883.29747989475,20215.458605754688
2024-12-31,Amberd 3,54.879536069400274,284914.987132202,1,0.0,54,1028,12,267373.7027285323,266754.2531872479,107446.52300525551,132795.70101654113,-12.545579974376663,15385409.305138908,-2.4492935982947064e-16,1.0,2.426817701151616,17541.284403669724,18160.73394495413
2025-01-01,Amberd 3,-419.1171625696061,19376.065675162776,-1,0.0,50,1034,1,-265538.92145703925,-265400.42712044274,107277.44573701151,94881.35428504932,-14.545579974376663,968803.2837581388,0.49999999999999994,0.8660254037844387,-0.5445491406264119,284914.987132202,284776.4927956055
2025-01-01,Amberd 3,-419.1171625696061,17432.660550458717,-1,0.0,50,1034,1,-1943.4051247040588,-2360.7357700152606,107241.23778594118,94544.10631790428,-14.545579974376663,871633.0275229359,0.49999999999999994,0.8660254037844387,-0.5662957437834989,19376.065675162776,19793.396320473978
2025-01-01,Amberd 3,-419.1171625696061,284983.40223531035,-1,0.0,50,1034,1,267550.74168485164,267169.0903087048,107264.04282031063,132711.11921914783,-14.545579974376663,14249170.111765517,0.49999999999999994,0.8660254037844387,2.4275832626283953,17432.660550458717,17814.311926605504
2025-01-02,Amberd 3,65.19814193142884,19365.656067229844,-1,0.0,49,1036,1,-265617.7461680805,-265480.4809901066,107260.57295099966,94785.33622056116,-14.545579974376663,948917.1472942623,0.49999999999999994,0.8660254037844387,-0.544665623602535,284983.40223531035,284846.13705733645
2025-01-02,Amberd 3,65.19814193142884,17244.770642201835,-1,0.0,49,1036,1,-2120.885425028009,-2638.526837692916,107197.9429815807,94408.40381517645,-14.545579974376663,844993.7614678899,0.49999999999999994,0.8660254037844387,-0.5683982221706062,19365.656067229844,19883.29747989475
2025-01-02,Amberd 3,65.19814193142884,285051.45267218654,-1,0.0,49,1036,1,267806.6820299847,267510.16826851683,107220.62646053942,132624.14213925027,-14.545579974376663,13967521.180937141,0.49999999999999994,0.8660254037844387,2.428344743508836,17244.770642201835,17541.284403669724
2025-01-03,Amberd 3,220.96704813694123,19270.076939845647,-1,0.0,47,1032,1,-265781.3757323409,-265644.9101923564,107188.76675141136,94674.86925462796,-14.545579974376663,905693.6161727454,0.49999999999999994,0.8660254037844387,-0.545735149110574,285051.45267218654,284914.987132202
2025-01-03,Amberd 3,220.96704813694123,17265.32110091743,-1,0.0,47,1032,1,-2004.7558389282167,-2110.7445742453456,107195.61690431657,94373.33431545005,-14.545579974376663,811470.0917431192,0.49999999999999994,0.8660254037844387,-0.5681682635970164,19270.076939845647,19376.065675162776
2025-01-03,Amberd 3,220.96704813694123,285119.1771597896,-1,0.0,47,1032,1,267853.8560588722,267686.5166093309,107218.19173351758,132614.2652596402,-14.545579974376663,13400601.32651011,0.49999999999999994,0.8660254037844387,2.429102577033714,17265.32110091743,17432.660550458717
2025-01-04,Amberd 3,-93.0230244843151,19275.754907809063,-1,0.0,44,1028,1,-265843.4222519805,-265707.64732750127,107220.0843895054,94656.02992714,-14.545579974376663,848133.2159435988,0.49999999999999994,0.8660254037844387,-0.5456716129417796,285119.1771597896,284983.40223531035
2025-01-04,Amberd 3,-93.0230244843151,17294.678899082573,-1,0.0,44,1028,1,-1981.0760087264898,-2070.9771681472703,107229.87032222709,94360.1760459761,-14.545579974376663,760965.8715596332,0.49999999999999994,0.8660254037844387,-0.5678397513490309,19275.754907809063,19365.656067229844
2025-01-04,Amberd 3,-93.0230244843151,285186.88892810285,-1,0.0,44,1028,1,267892.21002902027,267942.11828590103,107252.44091166485,132637.62151539052,-14.545579974376663,12548223.112836525,0.49999999999999994,0.8660254037844387,2.4298602682303954,17294.678899082573,17244.770642201835
2025-01-05,Amberd 3,102.39623182686591,19425.27473084573,-1,0.2,40,1027,1,-265761.61419725715,-265626.17794134084,107302.28085267705,94691.02466662756,-14.545579974376663,777010.9892338292,0.49999999999999994,0.8660254037844387,-0.5439984938301937,285186.88892810285,285051.45267218654
2025-01-05,Amberd 3,102.39623182686591,17133.211009174312,-1,0.2,40,1027,1,-2292.0637216714167,-2136.8659306713344,107248.45822270766,94385.75810510307,-14.545579974376663,685328.4403669725,0.49999999999999994,0.8660254037844387,-0.5696465687129513,19425.27473084573,19270.076939845647
2025-01-05,Amberd 3,102.39623182686591,285254.4596660488,-1,0.2,40,1027,1,268121.2486568745,267989.1385651314,107270.98180202297,132669.9207572647,-14.545579974376663,11410178.386641953,0.49999999999999994,0.8660254037844387,2.4306163813045365,17133.211009174312,17265.32110091743
2025-01-06,Amberd 3,92.64538227657069,19325.91029148592,1,0.61,59,1027,1,-265928.5493745629,-265793.2668683037,107237.86032223637,94699.45406179277,-12.545579974376663,1140228.7071976694,0.49999999999999994,0.8660254037844387,-0.5451103767840957,285254.4596660488,285119.1771597896
2025-01-06,Amberd 3,92.64538227657069,17171.376146788993,1,0.61,59,1027,1,-2154.5341446969287,-2104.3787610200707,107250.58203477459,94398.82852450418,-12.545579974376663,1013111.1926605506,0.49999999999999994,0.8660254037844387,-0.56921950279057,19325.91029148592,19275.754907809063
2025-01-06,Amberd 3,92.64538227657069,285321.7154967425,1,0.61,59,1027,1,268150.3393499535,268027.0365976599,107273.00064500583,132688.40518131273,-12.545579974376663,16833981.214307807,0.49999999999999994,0.8660254037844387,2.43136897058276,17171.376146788993,17294.678899082573
2025-01-07,Amberd 3,-130.32316915625597,18980.500573711342,0,0.0,58,1033,1,-266341.21492303116,-266206.3883543915,107157.8640724143,94658.92113068538,-13.545579974376663,1100869.0332752578,0.49999999999999994,0.8660254037844387,-0.5489754937190885,285321.7154967425,285186.88892810285
2025-01-07,Amberd 3,-130.32316915625597,16748.623853211007,0,0.0,58,1033,1,-2231.876720500335,-2676.650877634722,107016.94664122164,94276.5424338804,-13.545579974376663,971420.1834862385,0.49999999999999994,0.8660254037844387,-0.5739500791615615,18980.500573711342,19425.27473084573
2025-01-07,Amberd 3,-130.32316915625597,285388.1136838942,0,0.0,58,1033,1,268639.4898306832,268254.9026747199,107039.07937027221,132598.67138741183,-13.545579974376663,16552510.593665864,0.49999999999999994,0.8660254037844387,2.4321119628739623,16748.623853211007,17133.211009174312
2025-01-08,Amberd 3,-437.1965556412488,18716.475063412425,0,0.0,56,1032,1,-266671.63862048177,-266537.98460263637,106951.07086683925,94521.81644417807,-13.545579974376663,1048122.6035510958,0.49999999999999994,0.8660254037844387,-0.551929925568028,285388.1136838942,285254.4596660488
2025-01-08,Amberd 3,-437.1965556412488,16499.08256880734,0,0.0,56,1032,1,-2217.3924946050865,-2826.827722678583,106867.89043870468,94117.98391236682,-13.545579974376663,923948.623853211,0.49999999999999994,0.8660254037844387,-0.5767424332694384,18716.475063412425,19325.91029148592
2025-01-08,Amberd 3,-437.1965556412488,285453.9667586253,0,0.0,56,1032,1,268954.88418981794,268282.5906118363,106889.84146361503,132444.06828548628,-13.545579974376663,15985422.138483016,0.49999999999999994,0.8660254037844387,2.43284885538528,16499.08256880734,17171.376146788993
