Date,Station,Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-02-19,Amberd 3,254433.6954953097,6,0.03,50,1019,2,241507.4569631996,241228.55788063077,94735.48832496007,117585.76807051622,-7.619667893009844,12721684.774765484,0.8660254037844386,0.5000000000000001,-0.007403210802101345,0.006007587162173378,-0.01375153942364245
2024-02-20,Amberd 3,16718.77666828331,6,0.11,49,1019,2,-237714.91882702638,-237608.04911763078,94692.90356523445,83641.76105371185,-7.619667893009844,819220.0567458821,0.8660254037844386,0.5000000000000001,-0.08284948946044879,0.00030520920002172816,-0.0007140063575351639
2024-02-20,Amberd 3,12738.348623853211,6,0.11,49,1019,2,-3980.4280444300985,-4084.524123759422,94630.27359581551,83058.25760746049,-7.619667893009844,624179.0825688074,0.8660254037844386,0.5000000000000001,-0.10873796535736081,0.003415602645443355,-0.005532504301368721
2024-02-20,Amberd 3,254486.0177615797,6,0.11,49,1019,2,241747.66913772648,241122.34803680904,94647.71435123881,117504.30732700464,-7.619667893009844,12469814.870317405,0.8660254037844386,0.5000000000000001,-0.00544290064952894,0.0044828964493744215,-0.0069646001251458586
2024-02-21,Amberd 3,16478.409357831963,6,0.0,44,1022,2,-238007.60840374773,-237902.13390260428,94567.5919144217,83518.28819806117,-7.619667893009844,725050.0117446063,0.8660254037844386,0.5000000000000001,0.3372746537411594,0.00022439228024804408,-0.00036587946013723723
2024-02-21,Amberd 3,12782.385321100915,6,0.0,44,1022,2,-3696.024036731047,-4064.145626359292,94582.27081350428,82937.69596572414,-7.619667893009844,562424.9541284402,0.8660254037844386,0.5000000000000001,0.4347975491861624,-0.013904686764657042,0.004609584305687743
2024-02-21,Amberd 3,254538.06132165305,6,0.0,44,1022,2,241755.67600055214,241611.82278954296,94599.61866686206,117453.67064994454,-7.619667893009844,11199674.698152734,0.8660254037844386,0.5000000000000001,0.021834651295409502,-0.017925224028586293,0.006007587162173378
2024-02-22,Amberd 3,16344.030782697744,7,0.01,45,1020,2,-238194.0305389553,-238089.66471261194,94554.82580848398,83440.86140528569,-6.619667893009844,735481.3852213984,0.8660254037844386,0.5000000000000001,-0.20393008022379622,-0.000900168404327182,0.00030520920002172816
2024-02-22,Amberd 3,12820.550458715596,7,0.01,45,1020,2,-3523.4803239821485,-3898.2262095677142,94567.54752102222,82883.97194677603,-6.619667893009844,576924.7706422018,0.8660254037844386,0.5000000000000001,-0.2599763184450397,0.008407343557987699,0.003415602645443355
2024-02-22,Amberd 3,254590.32096988076,7,0.01,45,1020,2,241769.77051116517,241851.97234602756,94584.9674037648,117434.25371049426,-6.619667893009844,11456564.443644634,0.8660254037844386,0.5000000000000001,-0.013091776215208354,0.010717939323662449,0.0044828964493744215
