Date,Station,Energy Production (kWh),Water_Flow_m3_s,avgtempC,totalprecipMM,humidity,pressureMB,Month,Efficiency,WaterFlow_Diff_1d,WaterFlow_Diff_7d,WaterFlow_3day_avg,WaterFlow_7day_avg,Temp_Deviation,WaterFlow_Humidity,month_sin,month_cos,Normalized_Efficiency,Prev_Day_Efficiency,Prev_Week_Efficiency
2024-03-08,Amberd2,88.92305424177903,12397.798165137614,6,1.52,61,1014,3,0.007172487651220929,-4699.5097007068725,-4436.430518401856,94932.33206943372,83100.1551104742,-7.619667893009844,756265.6880733945,1.0,6.123233995736766e-17,-0.20623387644307778,0.005200997428339099,-0.00457449130737471
2024-03-08,Amberd2,88.92305424177903,255353.90452495724,6,1.52,61,1014,3,0.0003482345586499072,242956.10635981962,243094.08801119577,94949.67018531321,117827.88196921644,-7.619667893009844,15576588.176022392,1.0,6.123233995736766e-17,-0.010012950378463123,0.007172487651220929,-0.006281336485971785
2024-03-09,Amberd2,146.52153916517273,16591.022389106412,7,0.06,48,1014,3,0.008831374928490126,-238762.8821358508,-238659.5736878313,94780.90835973386,83733.65715666911,-6.619667893009844,796369.0746771079,1.0,6.123233995736766e-17,-0.25393263458804194,0.0003482345586499072,-0.0003016957999815896
2024-03-09,Amberd2,146.52153916517273,12171.743119266055,7,0.06,48,1014,3,0.012037843530664968,-4419.279269840357,-4800.649451383244,94705.55667777667,83047.8500921858,-6.619667893009844,584243.6697247706,1.0,6.123233995736766e-17,-0.3461297190134112,0.008831374928490126,0.0008751059833112724
2024-03-09,Amberd2,146.52153916517273,255405.55183023243,7,0.06,48,1014,3,0.0005736818879433181,243233.80871096638,242984.2674265627,94722.77244620172,117759.88829598048,-6.619667893009844,12259466.487851158,1.0,6.123233995736766e-17,-0.01649534239011122,0.012037843530664968,0.0011957412620948401
2024-03-10,Amberd2,189.8414562389953,16513.23422800759,5,5.73,73,1015,3,0.011496321896591949,-238892.31760222485,-238788.6559493112,94696.8430591688,83647.22316036458,-8.619667893009844,1205466.0986445541,1.0,6.123233995736766e-17,-0.33055909537439276,0.0005736818879433181,5.8176781532510996e-05
2024-03-10,Amberd2,189.8414562389953,12027.88990825688,5,5.73,73,1015,3,0.015783438133123696,-4485.3443197507095,-5069.417957587606,94648.8919888324,82923.02059499492,-8.619667893009844,878035.9633027522,1.0,6.123233995736766e-17,-0.45382854430422087,0.011496321896591949,0.005200997428339099
2024-03-10,Amberd2,189.8414562389953,255457.0455256229,5,5.73,73,1015,3,0.0007431443350813896,243429.15561736602,243059.2473604853,94666.05655396257,117645.7702179214,-8.619667893009844,18648364.32337047,1.0,6.123233995736766e-17,-0.021367975022509755,0.015783438133123696,0.007172487651220929
2024-03-11,Amberd2,220.36958868041984,16510.584509624663,7,0.06,51,1020,3,0.013347170631782165,-238946.46101599824,-238843.32001533257,94665.17331450158,83525.29593001676,-6.619667893009844,842039.8099908578,1.0,6.123233995736766e-17,-0.38377741068276006,0.0007431443350813896,0.0003482345586499072
2024-03-11,Amberd2,220.36958868041984,11928.073394495414,7,0.06,51,1020,3,0.018474868605529906,-4582.511115129249,-4662.948994610999,94631.90114324774,82859.16035935804,-6.619667893009844,608331.7431192661,1.0,6.123233995736766e-17,-0.531216497618699,0.013347170631782165,0.008831374928490126
2024-03-11,Amberd2,220.36958868041984,255507.73944325148,7,0.06,51,1020,3,0.0008624771568978799,243579.66604875607,243335.99632398543,94648.79911579062,117621.4455484988,-6.619667893009844,13030894.711605826,1.0,6.123233995736766e-17,-0.024799207201196966,0.018474868605529906,0.012037843530664968
2024-03-12,Amberd2,240.0559687962232,16688.494172478415,6,0.0,37,1025,3,0.014384519436876934,-238819.24527077307,-238717.05765775402,94708.10233674187,83519.00874024825,-7.619667893009844,617474.2843817014,1.0,6.123233995736766e-17,-0.4136047837925446,0.0008624771568978799,0.0005736818879433181
2024-03-12,Amberd2,240.0559687962232,11646.238532110092,6,0.0,37,1025,3,0.020612317713943413,-5042.255640368323,-4866.995695897498,94614.15738261341,82823.72364083432,-7.619667893009844,430910.8256880734,1.0,6.123233995736766e-17,-0.5926755668794013,0.014384519436876934,0.011496321896591949
2024-03-12,Amberd2,240.0559687962232,255557.8007509273,6,0.0,37,1025,3,0.0009393411904893775,243911.5622188172,243529.91084267042,94630.84448517203,117613.71090407294,-7.619667893009844,9455638.62778431,1.0,6.123233995736766e-17,-0.02700931454155985,0.020612317713943413,0.015783438133123696
2024-03-13,Amberd2,251.002997900534,16516.26247758808,9,0.0,31,1021,3,0.01519732434872207,-239041.53827333922,-238940.78304803482,94573.43392020858,83479.31332578223,-4.619667893009844,512004.13680523046,1.0,6.123233995736766e-17,-0.4369757418078243,0.0009393411904893775,0.0007431443350813896
2024-03-13,Amberd2,251.002997900534,11813.577981651377,9,0.0,31,1021,3,0.02124699208744269,-4702.684495936703,-4697.006527973286,94629.21373672235,82808.31239321464,-4.619667893009844,366220.9174311927,1.0,6.123233995736766e-17,-0.6109246546005292,0.01519732434872207,0.013347170631782165
2024-03-13,Amberd2,251.002997900534,255607.8020962368,9,0.0,31,1021,3,0.0009819848840374244,243794.2241145854,243679.72870174138,94645.88085182551,117619.70220774911,-4.619667893009844,7923841.864983341,1.0,6.123233995736766e-17,-0.02823546851406161,0.02124699208744269,0.018474868605529906
